colonia_oficial,gentrif_map_score_mean,gentrif_local_mean,price_m2_median,marginalidad_mean,score_15min_mean,n_registros,lat_centroide,lon_centroide,cat_mean_vus_200m_col,cat_mean_antiguedad_200m_col,cat_mean_ratio_construccion_200m_col,gentrification_index_alcaldia
solidaridad nacional,0.7399969051620766,0.4705772781429993,23507.462686567163,2.0,0.14673913043478262,1,19.5337832,-99.1536919,986.9400000000003,30.171206225680933,1.3930419043783668,0.829803447501769
tablas de san agustin,0.7476170598350148,0.5010578968347518,40620.0,3.0,0.5978260869565217,5,19.4634243,-99.1124864,2150.4199999999996,47.74820143884892,2.2802110859138462,0.829803447501769
tepeyac insurgentes,0.7479513543722947,0.5023950749838715,29649.35064935065,2.0,0.6847826086956522,12,19.482107933333335,-99.12065723333332,3603.791706482872,48.468014025943624,1.8820800121925119,0.829803447501769
tlacaelel,0.7568583025600463,0.5380228677348777,27997.647058823528,3.0,0.19384057971014493,3,19.556788233333336,-99.14318373333333,722.0065382014874,32.822822700384954,0.9581314936847459,0.829803447501769
tlalpexco,0.7287949073056663,0.4257692867173585,23034.188034188035,4.0,0.06521739130434782,2,19.545843050000002,-99.12635614999999,732.2733404710922,35.07740688389363,0.7694712315798278,0.829803447501769
torres lindavista (fracc),0.748343816192432,0.5039649222644209,37818.181818181816,1.0,0.3299689440993789,7,19.5096721,-99.14506878571429,4724.629291282328,33.33417996775323,1.4973009788742722,0.829803447501769
tres estrellas,0.7431037820000136,0.48300478549474746,28474.57627118644,2.0,0.3783967391304348,8,19.47217495,-99.1113245625,2164.7431414025705,49.26582568746452,1.7373132641975932,0.829803447501769
valle de madero,0.7272087988717187,0.419424852981568,20490.196078431374,4.0,0.22826086956521738,1,19.5514649,-99.1392712,939.839543147208,38.32233502538071,0.8844642899385174,0.829803447501769
valle del tepeyac,0.7428395091412687,0.4819476940597676,28089.887640449437,2.0,0.6358695652173914,5,19.4882086,-99.1413194,3264.448546256394,44.50627514665445,1.8837850701668706,0.829803447501769
vallejo i,0.7353431056158192,0.45196207995796955,22152.168615984403,2.0,0.890625,8,19.468580925,-99.1338257375,4174.612119163297,38.12893374208476,2.7483257054017307,0.829803447501769
vallejo ii,0.7365590057245562,0.45682568039291793,27835.249042145595,3.0,0.8980978260869565,4,19.46710785,-99.12783765,4319.781815042377,40.25905585126607,2.2894156855322976,0.829803447501769
vallejo poniente,0.752998212100074,0.5225825058949891,30564.784053156145,3.0,0.9521739130434783,5,19.467517100000002,-99.14240480000001,2833.4153241852487,29.62669023343288,3.4533052963312185,0.829803447501769
