precio_mxn,publicado_reciente,tipo_inmueble,recamaras,banos,m2,ubicacion,colonia,url,latitud,longitud
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2907197885-departamento-en-planta-baja-frente-a-cablebus-la-patera-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-5325794684-col-lindavista-ticoman-y-riobamba-edificio-productos-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5198751306-departamento-en-venta-en-joyas-vallejo-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-5330998682-en-lindavista-sobre-av-ticoman-magnifica-propiedad-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5352893432-departamento-en-santiago-atzacoalco-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2924134929-departamento-en-venta-colonia-vallejo-2-rec-1-bano-1-estacionamiento-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5041467624-departamento-en-venta-unidad-batiz-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2930117803-departamento-en-venta-en-santiago-atzacoalco-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4619825880-departamento-en-venta-en-lindavista-norte-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5058323500-departamento-en-planta-baja-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-4783822774-terreno-en-venta-para-desarrollar-insurgentes-norte-gam-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2720767905-departamento-en-venta-en-calzada-san-juan-de-aragon-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4830889242-departamento-en-venta-en-el-arbolillo-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4154563176-departamento-en-venta-cerca-de-metro-potrero-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2720500639-bonito-departamento-en-venta-col-nueva-industrial-vallejo-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-5327576038-casa-uso-suelo-mixto-comercial-en-pb-y-habitacional-en-pa-linea-telefonica-servicios-agualuza-una-calle-delegacion-gustavo-a-madero-plaza-mariana-a-espaldas-centro-escolar-morelos-y-metrobus-esq-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5376884728-departamento-en-venta-en-vasco-de-quiroga-se-acepta-credito-infonavit-bancario-y-efectivo-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-4032452446-terreno-en-venta-para-4-viviendas-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-4991546210-terreno-a-una-cuadra-de-circuito-interior-y-metro-aragon-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5327034894-pre-venta-en-aragon-la-villa-cdmx-1-hab-1-bano-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-4672107100-casa-en-venta-en-gertrudis-sanchez-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-2536684353-local-en-venta-colonia-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-4977826180-venta-de-casa-en-la-padera-gam-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-2864676625-terreno-con-proyecto-arquitectonico-ubicado-en-la-ciudad-de-mexico-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-5186947708-terreno-con-proyecto-arquitectonico-ubicado-en-la-ciudad-de-mexico-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-5186929376-terreno-con-proyecto-arquitectonico-ubicado-en-la-ciudad-de-mexico-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-2916702137-terreno-con-proyecto-arquitectonico-ubicado-en-la-ciudad-de-mexico-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-5186926672-terreno-con-proyecto-arquitectonico-ubicado-en-la-ciudad-de-mexico-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-5390365548-se-vende-nave-industrial-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-5246059374-casa-en-venta-solidaridad-nacional-gam-cdmx-no-se-aceptan-creditos-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2865310047-casa-en-venta-en-lindavista-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-2783046743-terreno-en-venta-av-483-col-san-juan-de-aragon-vii-seccion-gam-cdmx-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-5310544224-casa-multifamiliar-en-san-juan-de-aragon-iii-gam-cdmx-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2907994781-departamento-en-venta-col-lindavista-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2908007511-departamento-en-venta-col-lindavista-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2902002797-casa-en-venta-en-cuautepec-ciudad-de-mexico-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2718616893-departamento-en-venta-entrega-inmediata-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-5159191244-terreno-en-venta-gustavo-a-madero-_JM,,
