SKU,Titulo,Renta_MXN,Area_m2,Recamaras,Banos,Estacionamientos,Ubicacion,Alcaldia,Pagina_Origen,URL
41032-73-e3beb18ca9f5-2b82-19dfb0a-9732-7704,Departamento en Renta en Polanco,78000,247,3,2,2,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-e3beb18ca9f5-2b82-19dfb0a-9732-7704
41032-73-b3198259f24a-1aac-6c81a778-a9d1-5001,Departamento en Renta en Ampliación Granada,55000,78,1,1,1,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-b3198259f24a-1aac-6c81a778-a9d1-5001
41032-73-35d047b3a33b-59b8-19d73ac-8ba6-771e,Departamento en Renta en Santa Catarina Yecahuizotl,7000,53,2,1,1,"Santa Catarina Yecahuizotl, Tláhuac, Ciudad de México",Tláhuac,2,https://www.lamudi.com.mx/detalle/41032-73-35d047b3a33b-59b8-19d73ac-8ba6-771e
41032-73-38f8d45f979e-604e-19974a2-af7c-7882,Departamento en Renta en Juárez,38000,51,1,1,0,"Juárez, Cuauhtémoc, Ciudad de México",Cuauhtémoc,2,https://www.lamudi.com.mx/detalle/41032-73-38f8d45f979e-604e-19974a2-af7c-7882
41032-73-f1e98c218e56-5cc7-19e0030-b46e-7c76,Departamento en Renta en Granada,46200,96,2,2,0,"Granada, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-f1e98c218e56-5cc7-19e0030-b46e-7c76
41032-73-841b1a473589-e8eb-19e443a-81ce-7123,Departamento en Renta en Insurgentes Cuicuilco,20000,119,2,3,1,"Insurgentes Cuicuilco, Coyoacán, Ciudad de México",Coyoacán,2,https://www.lamudi.com.mx/detalle/41032-73-841b1a473589-e8eb-19e443a-81ce-7123
41032-73-f6f4a2a3423e-50ba-19e4872-9917-795e,Departamento en Renta en Polanco,11300,345,4,4,3,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-f6f4a2a3423e-50ba-19e4872-9917-795e
41032-73-9d41f4109bcb-8351-19dbd61-ac8a-7777,Departamento en Renta en Ampliación Granada,55000,78,1,1,0,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-9d41f4109bcb-8351-19dbd61-ac8a-7777
41032-73-41b67ab3a32a-d29-19e41b0-b9f4-7898,Departamento en Renta en Polanco,110000,194,2,2,2,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-41b67ab3a32a-d29-19e41b0-b9f4-7898
41032-73-b1e15f44a617-99e0-19dfd77-ad1b-7222,Departamento en Renta en Juárez,29656,32,1,1,0,"Juárez, Cuauhtémoc, Ciudad de México",Cuauhtémoc,2,https://www.lamudi.com.mx/detalle/41032-73-b1e15f44a617-99e0-19dfd77-ad1b-7222
41032-73-3b7b7ae5c0f8-f71b-1966461-b8ad-78e0,Departamento en Renta en Roma Norte,28000,54,1,1,1,"Roma Norte, Cuauhtémoc, Ciudad de México",Cuauhtémoc,2,https://www.lamudi.com.mx/detalle/41032-73-3b7b7ae5c0f8-f71b-1966461-b8ad-78e0
