longitud,latitud,alcaldia,price,price_m2_raw,area,rooms,bathrooms,target_enc_colonia,ratio_precio_vecinal,gentrification_index,precio_predicho,error_pct
-99.1698262,19.4330969,Cuauhtémoc,29000.0,325.8426966292135,89.0,2,2.0,5.399314140592946,0.8272577934939455,0.830531038273375,45202.202144908224,55.86966256864905
-99.1738081,19.3896634,Benito Juárez,26000.0,361.1111111111111,72.0,1,1.0,6.0502495658627655,0.8960573754207073,0.933319961735651,17582.81669276013,-32.37378195092258
-99.1633037,19.4058335,Cuauhtémoc,26500.0,588.8888888888889,45.0,1,1.0,6.088982218310168,1.1842651230479506,0.830531038273375,56443.93930120502,112.9959973630378
-99.1668669,19.3601941,Benito Juárez,42000.0,466.6666666666667,90.0,2,2.0,5.92245528576222,1.2241007307949803,0.933319961735651,37016.29011660745,-11.865975912839401
-99.1515438,19.4312045,Cuauhtémoc,19200.0,533.3333333333334,36.0,1,1.0,6.241336483390632,1.005200149516694,0.830531038273375,44209.41769069161,130.2573838056855
-99.144843,19.3987308,Álamos,18000.0,257.14285714285717,70.0,1,1.0,5.35653213512131,0.9549809978590067,0.5,18948.170918343603,5.267616213020018
-99.1872682,19.4336459,Polanco,84000.0,280.0,300.0,3,3.0,5.381328198747555,0.7257814660657713,0.5,26238.627530009166,-68.76353865475099
-99.1752657,19.4237195,Paseo De La Reforma,20500.0,661.2903225806451,31.0,1,1.0,6.300449007345263,1.6319898087379558,0.5,58968.980456878395,187.65356320428486
-99.2018808,19.3481526,Atlamaya,48500.0,323.3333333333333,150.0,3,3.0,5.375442021788756,1.251651717892272,0.5,32313.49229407745,-33.37424269262382
-99.169545,19.2906711,Tlalpan,33000.0,161.76470588235293,204.0,3,2.0,5.409805088621339,0.8016247271454842,0.3919311241687132,36958.99093333778,11.996942222235697
-99.1633037,19.4058335,Cuauhtémoc,23500.0,618.421052631579,38.0,1,1.0,6.133681680794143,1.243654784134268,0.830531038273375,44176.8156519084,87.98644958258895
-99.190915,19.43353,Miguel Hidalgo,89000.0,268.8821752265861,331.0,3,2.0,5.668703079643316,0.5346304541061627,0.8585849060226639,86842.34128419856,-2.42433563573196
-99.1633037,19.4058335,Cuauhtémoc,23400.0,570.7317073170732,41.0,1,1.0,6.1077715400697,1.1477507359130161,0.830531038273375,47384.05047961422,102.49594222057358
-99.2453489,19.4005527,Miguel Hidalgo,36000.0,138.46153846153845,260.0,4,4.0,5.784605993904457,0.49477015695796006,0.8585849060226639,18943.580136765202,-47.37894406454111
-99.2555372,19.3413313,Villa Verdún,28000.0,112.0,250.0,3,3.0,5.371685109456381,0.5152136068492421,0.5,16653.665821152637,-40.52262206731201
-99.1476839,19.4332704,Cuauhtémoc,27200.0,647.6190476190476,42.0,1,1.0,6.16640863687974,1.1930478513435816,0.830531038273375,39983.47091465828,46.99805483330251
-99.1934907,19.3598623,Álvaro Obregón,30000.0,384.61538461538464,78.0,2,2.0,5.732040176347902,1.1492723531519118,0.0,47087.34832037215,56.957827734573826
-99.2227597,19.3892129,Boscoso,24500.0,245.0,100.0,2,2.0,5.363372754945694,1.4801880387044857,0.5,20160.312374214962,-17.71301071748995
-99.14322,19.4214424,Cuauhtémoc,25600.0,308.43373493975906,83.0,2,1.0,5.426257667307115,1.8575426305754184,0.830531038273375,14051.226885356224,-45.11239497907725
-99.1752657,19.4237195,Paseo De La Reforma,45200.0,447.5247524752475,101.0,3,2.0,6.323176082530173,1.1044405312743897,0.5,31904.141222542607,-29.415616764286266
-99.1990015,19.4430584,Ampliación Granada,27900.0,871.875,32.0,1,1.0,5.363745486052549,1.7404903712111086,0.5,25411.932872040277,-8.917803326020511
-99.1584802,19.4331903,Tabacalera,24000.0,631.578947368421,38.0,1,1.0,5.380117812450494,1.293447494883693,0.5,36960.07772428988,54.000323851207824
-99.1539172,19.4360737,Cuauhtémoc,35000.0,384.61538461538464,91.0,1,1.0,6.129345709363082,0.8558859205341355,0.830531038273375,26531.63837201253,-24.195318937107054
-99.1752657,19.4237195,Paseo De La Reforma,37200.0,523.943661971831,71.0,2,2.0,6.340105505837883,1.293033766703271,0.5,35767.78371140483,-3.8500437865461543
-99.1712126,19.4093714,Cuauhtémoc,45000.0,483.8709677419355,93.0,2,2.0,6.099391180170331,1.0887578630310986,0.830531038273375,49581.88495270551,10.181966561567808
-99.2511696,19.3881071,Cuajimalpa de Morelos,70000.0,234.11371237458195,299.0,3,3.0,5.607663290752258,0.654771905846903,0.49427437331671703,19773.529108375977,-71.75210127374861
-99.1633037,19.4058335,Cuauhtémoc,23600.0,621.0526315789474,38.0,1,1.0,6.099554400002074,1.2489469321518607,0.830531038273375,10255.419006330352,-56.544834718939185
-99.2200876,19.4486362,Periodista,32000.0,385.5421686746988,83.0,2,2.0,5.387859188115993,1.0358656756257836,0.5,32699.288489837174,2.185276530741169
